currency,description,link,listing_type,location,price,rooms,seller,seller_url,sq_meters,tags,title
€,"NO COBRAMOS COMISIÓN AL COMPRADOR ESPECIALIZADOS EN COLABORACIÓN INTERNACIONAL GILMAR presenta esta gran casa rehabilitada en su totalidad, situada en el corazón del centro de Sevilla, próxima a la emblemática Plaza del Museo. Con una superficie construida de 422 m², esta propiedad se distribuye en tres plantas y un solárium. Cuenta con seis amplios dormitorios y cinco baños, lo que la convierte en una opción ideal tanto para familias numerosas como para inversores. Un impresionante patio central, que no solo aporta una gran cantidad de luz",https://www.idealista.com/pro/gilmar-sevilla/,venta,,1700000,,Gilmar Sevilla,https://www.idealista.com/pro/gilmar-sevilla/,,Lujo,"Casa o chalet independiente en San Vicente, Sevilla"
€,"Piso de lujo reformado en el Centro de Sevilla, con espacios únicos 333 m², listo para entrar a vivir Exclusiva propiedad de 318 m² útiles frente a la Plaza del Museo, completamente reformada en 2023, ubicada en una planta completa de un edificio clásico con gran presencia urbana. La vivienda destaca por sus amplios espacios y diseño elegante, con un espectacular salón principal de más de 100 m² dividido en tres ambientes: una zona de estar, un área de bar y un comedor formal independiente de 40 m², ideal para reuniones y celebraciones. Seis b",https://www.idealista.com/pro/engel-sevilla/,venta,,2900000,,Engel & Völkers Sevilla,https://www.idealista.com/pro/engel-sevilla/,,Lujo,"Piso en San Vicente, Sevilla"
€,"Piso en venta en pleno centro de Sevilla, a escasos metros de la Alameda de Hércules, una de las zonas con más encanto y vida de la ciudad. La vivienda cuenta con dos dormitorios, uno doble y uno sencillo, un baño completo con placa de ducha, cocina equipada y un acogedor salón con orientación sur que garantiza una excelente entrada de luz natural. La finca tiene ascensor, lo que permite utilizar la azotea transitable para poder tender. La propiedad está para entrar a vivir y se encuentra recién pintada de blanco. Ofrece calidades como suelos",https://www.idealista.com/pro/p29003383/,venta,,240000,,Italyca inmobiliaria,https://www.idealista.com/pro/p29003383/,,,"Piso en Pasaje Del Marqués de Esquivel, 8, Alameda, Sevilla"
€,"Magnifico piso, amplio, luminoso y estratégicamente ubicado en el centro de Sevilla, ofrece un diseño moderno y funcional, distribuidos en tres dormitorios con armarios empotrados, dos baños completamente reformados, y cocina amueblada sin electrodomésticos. Mobiliario no incluido Posibilidad de adquirir plaza de garaje y trastero por 60.000 euros ambas. Situado en una zona privilegiada, rodeada de todo tipo de servicios como supermercados, colegios, zonas deportivas, parques, y centros de salud, con excelente comunicación con transporte públi",https://www.idealista.com/pro/espacio-sevilla-sur/,venta,,450000,,RK Sevilla Sur,https://www.idealista.com/pro/espacio-sevilla-sur/,,,"Piso en Calle Lumbreras, Plaza de la Gavidia-San Lorenzo, Sevilla"
€,"housin presenta en exclusiva este piso de 117 m2 (según catastro), situado en una antigua casa señorial sevillana con plaza de parking y trastero en el mismo edificio en planta sótano. La vivienda se encuentra actualmente dividida en dos viviendas completamente equipadas con posibilidad de volver a comunicarlas, lo que lo hace una oportunidad única con múltiples posibilidades. La vivienda se distribuye en: - Primera vivienda con salón y cocina abiertos con techos altos de 4,5 m; habitación doble con ventana a patio interior y cuarto de baño c",https://www.idealista.com/pro/housin-inmobiliaria-remedios-porvenir/,venta,,475000,,housin inmobiliaria,https://www.idealista.com/pro/housin-inmobiliaria-remedios-porvenir/,,,"Piso en Plaza Cristo de Burgos, Santa Cruz - Alfalfa, Sevilla"
€,"SAN FRANCISCO JAVIER, 4 DORMITORIOS, 2 BAÑOS, GARAJE Y TRASTERO",https://www.idealista.com/pro/vk-inmobiliaria/,venta,,500000,,VK INMOBILIARIA,https://www.idealista.com/pro/vk-inmobiliaria/,,,"Piso en Avenida San Francisco Javier, Nervión, Sevilla"
€,"**Piso en Venta en Puerta de Jerez - Un Hogar con Historia y Estilo** Descubre este espectacular piso en venta, ubicado en la emblemática Puerta de Jerez, un lugar donde la historia y la modernidad se entrelazan. Este amplio hogar de 179 m² ha sido totalmente reformado, conservando el encanto de un edificio señorial de principios del siglo XX. Con techos altos y suelos de mármol, cada rincón irradia elegancia y confort. El luminoso salón comedor, adornado con tres balcones que ofrecen vistas a la Avenida de la Constitución, es el espacio perf",https://www.idealista.com/pro/savills-andalucia/,venta,,1500000,,Savills Andalucía,https://www.idealista.com/pro/savills-andalucia/,,Lujo,"Piso en Av Constitucion La, Arenal - Museo - Tetuán, Sevilla"
€,"SIN COMISIONES AL COMPRADOR. Un Refugio con Alma en el Corazón de Sevilla Imagina despertar cada mañana en el Barrio de Santa Cruz, un laberinto de calles estrechas que susurran historias centenarias, pero con la inmensa comodidad de no estar en una zona peatonal. A solo tres minutos a pie, la majestuosa Catedral de Sevilla y la icónica Giralda se alzan imponentes, sus campanas marcando el compás de tu día. Esta no es solo una casa, es un trozo de alma sevillana, un lienzo donde tus recuerdos se pintarán con la luz dorada de Andalucía. Aquí,",https://www.idealista.com/pro/urban21/,venta,,670000,,URBAN21.es,https://www.idealista.com/pro/urban21/,,,"Piso en Calle Federico Rubio, Santa Cruz - Alfalfa, Sevilla"
€,"¡SOMOS PROPIETARIOS! Disfruta de todas las ventajas de comprar directamente a la propiedad. Clikalia presenta este piso ubicada en el barrio de Arenal - Museo - Tetuán, en Sevilla. La vivienda está ubicada en la 1 planta exterior con ascensor. Dispone de una superficie total de 175 m², distribuidos en salón y comedor",https://www.idealista.com/inmueble/108475161/,venta,,650000,,Clikalia España,https://www.idealista.com/pro/clikalia/,,,"Piso en Calle Bailén, Arenal - Museo - Tetuán, Sevilla"
€,"NO COBRAMOS COMISIÓN AL COMPRADOR ESPECIALISTAS EN COLABORACIONES INTERNACIONALES En pleno corazón del Centro de Sevilla, junto a la Alfalfa, este magnífico piso de 134 m² construidos combina ubicación privilegiada con características que garantizan una vida cómoda y funcional. Ubicado en una finca construida en 1980",https://www.idealista.com/inmueble/109643174/,venta,,560000,,Gilmar Sevilla,https://www.idealista.com/pro/gilmar-sevilla/,,,"Piso en Calle Pajaritos, Santa Cruz - Alfalfa, Sevilla"
